feature,c1,c2,c3,c4,c5,total_SHAP,week_number,ranking,c1_ranking,c5_ranking,feature_index,color
Political Affiliation,0.013887478832777064,0.011961391143413628,0.010947016639342525,0.010098138533409608,0.02558803765095058,0.07248206279989342,10,7,10,2,F9,#1f77b4
Stringency Index,0.014988088494475303,0.010968696962155267,0.010388090021726727,0.012316408206547667,0.016872683054751068,0.06553396673965603,10,10,7,8,F21,#9467bd
Google Search Insights,0.00856660965859131,0.005750440630928875,0.007658499322338031,0.006836338201549222,0.006288326834355305,0.035100214647762744,10,18,16,19,F20,#8c564b
Political Affiliation,0.02029534049711954,0.012187454542763236,0.013343640318641504,0.011463546024775064,0.025581077564173823,0.08287105894747317,11,5,5,4,F9,#1f77b4
Google Search Insights,0.018532299197041198,0.011513221618090189,0.010662929908749438,0.00793219578787813,0.0068844383661712675,0.05552508487793022,11,11,7,18,F20,#8c564b
Stringency Index,0.00671291407656232,0.008805236591925203,0.005946651860274933,0.008266593496156013,0.007604392956057897,0.037335788980976364,11,16,22,15,F21,#9467bd
Stringency Index,0.022670557651413407,0.01048415847880613,0.014164313950723774,0.014302960774712077,0.008794873975109621,0.07041686483076501,12,8,4,13,F21,#9467bd
Political Affiliation,0.008715267639250767,0.009673922626717065,0.008044773715543787,0.007736096223602852,0.020237358806185324,0.05440741901129979,12,11,15,6,F9,#1f77b4
Google Search Insights,0.00981311154173238,0.007346843646346021,0.010205693153939979,0.009125907519806126,0.011362478609976266,0.04785403447180077,12,13,13,11,F20,#8c564b
Political Affiliation,0.01698465049908906,0.01405319380186105,0.010699205494895062,0.012995607087966215,0.025487366646448243,0.08022002353025963,13,7,8,4,F9,#1f77b4
Google Search Insights,0.008151536885922791,0.009202308027090938,0.01222298960381584,0.008154364547930991,0.018681600739536057,0.056412799804296615,13,12,18,7,F20,#8c564b
Stringency Index,0.011815253199064131,0.0092119098472903,0.008604570379121879,0.008443962410686387,0.010462542275661428,0.048538238111824124,13,14,12,14,F21,#9467bd
Political Affiliation,0.020598296732283854,0.024458949335004726,0.01279240058570024,0.01649884274674215,0.03584037634565535,0.11018886574538633,14,2,5,1,F9,#1f77b4
Google Search Insights,0.014581917816457986,0.01542192272410819,0.013431220775692502,0.013027711931699788,0.030467021912089255,0.08692979516004773,14,6,10,3,F20,#8c564b
Stringency Index,0.009381519841590531,0.008813144339440818,0.007381759092791268,0.007746513407401071,0.008244429144491496,0.041567365825715186,14,14,15,18,F21,#9467bd
Political Affiliation,0.015550823721635465,0.03642065090381053,0.021620788562504274,0.02110097627303713,0.045852145935936145,0.14054538539692354,15,1,9,1,F9,#1f77b4
Google Search Insights,0.009974828628731799,0.019375655333302648,0.01656964400748638,0.014201701419665109,0.030546946535957967,0.0906687759251439,15,6,15,4,F20,#8c564b
Stringency Index,0.0144175463924051,0.009531254605807967,0.011228382360200672,0.008015927597925548,0.009815907475810907,0.053009018432150196,15,12,10,12,F21,#9467bd
Google Search Insights,0.018468240909879332,0.03408234710559887,0.025104139994500705,0.025605303444699183,0.04623399885190986,0.14949403030658792,16,2,9,1,F20,#8c564b
Political Affiliation,0.020027000896828916,0.03297058998127948,0.02120199742048836,0.0221499782290951,0.04360999239139301,0.13995955891908488,16,3,7,2,F9,#1f77b4
Stringency Index,0.021637420595842914,0.008554663595200589,0.011136903399109062,0.00897006502907937,0.0097529316827388,0.060051984301970736,16,8,5,12,F21,#9467bd
Google Search Insights,0.01223342737760503,0.04683378658028322,0.03453021580741466,0.02831591893822967,0.054418941526813716,0.1763322902303463,17,1,13,1,F20,#8c564b
Political Affiliation,0.01640045540244824,0.03532044786678431,0.02721339749703061,0.026326734472563614,0.05040420403309983,0.1556652392719266,17,3,10,2,F9,#1f77b4
Stringency Index,0.028996185973097832,0.008114032669421642,0.010153816360201089,0.011132354611151859,0.016202962867767373,0.07459935248163979,17,8,4,6,F21,#9467bd
Google Search Insights,0.010601036137646309,0.04663398359126266,0.04140581116254061,0.031421299575723594,0.05742128867713488,0.18748341914430805,18,1,11,1,F20,#8c564b
Political Affiliation,0.012417238456630453,0.04108904141899486,0.03359031311143736,0.02917188063449379,0.05371030084264724,0.1699787744642037,18,2,9,2,F9,#1f77b4
Stringency Index,0.0422390919220601,0.010244499627276226,0.013401341052583084,0.015378716761171165,0.01753320388268125,0.09879685324577184,18,7,2,5,F21,#9467bd
Google Search Insights,0.021890576871973162,0.05628223415884,0.04495043941851823,0.0398406545515939,0.07045827002130253,0.2334221750222278,19,1,4,1,F20,#8c564b
Political Affiliation,0.027845664481425707,0.04055504935502982,0.02903413656634421,0.030924765769617175,0.05185540588579121,0.18021502205820814,19,2,3,2,F9,#1f77b4
Stringency Index,0.016240558323850598,0.005304917589504465,0.007507072936961882,0.008328353529033506,0.011391140816352632,0.04877204319570309,19,12,8,10,F21,#9467bd
Google Search Insights,0.04724621328813992,0.050115915258913374,0.036306403020590454,0.04277990251905897,0.05701864251145357,0.2334670765981563,20,1,2,2,F20,#8c564b
Political Affiliation,0.04244061378595136,0.04399994483283672,0.04122610863670269,0.038531726403214867,0.06722191965437942,0.23342031331308505,20,2,3,1,F9,#1f77b4
Stringency Index,0.006660894355587046,0.006263183224049862,0.006473431604703996,0.007899187917987039,0.006803409912759263,0.03410010701508721,20,12,11,14,F21,#9467bd
Political Affiliation,0.04933643889488711,0.0397564160561528,0.03961712194757087,0.033805026211391004,0.07221945423438289,0.23473445734438467,21,1,2,1,F9,#1f77b4
Google Search Insights,0.05653747178065463,0.04162235457992575,0.03570030860057274,0.04049044975542069,0.041092520137900185,0.215443104854474,21,2,1,2,F20,#8c564b
Stringency Index,0.0046140475911100555,0.009679084173465979,0.008489783999445446,0.00835886075627387,0.010644064627974497,0.041785841148269845,21,12,12,9,F21,#9467bd
Political Affiliation,0.05018013652293986,0.0404086848136494,0.03805087253550083,0.03478198545833033,0.07041525898675033,0.23383693831717076,22,1,2,1,F9,#1f77b4
Google Search Insights,0.05613191847932999,0.0395019173681945,0.03437977634428349,0.03842991197211215,0.036559542228807834,0.20500306639272797,22,2,1,3,F20,#8c564b
Stringency Index,0.0037970366416619408,0.006801249129648102,0.0064488179752804995,0.006185761840305397,0.005511026151162928,0.028743891738058865,22,16,20,19,F21,#9467bd
Political Affiliation,0.05049418170580036,0.037297320461388096,0.0377031294083184,0.042056114935065794,0.08611215730521561,0.25366290381578827,23,1,2,1,F9,#1f77b4
Google Search Insights,0.05180851117087276,0.042393102688611156,0.04559648341322245,0.047229476922225545,0.04593766452108646,0.23296523871601837,23,2,1,2,F20,#8c564b
Stringency Index,0.006033650592568547,0.008757588186733771,0.01345553831173019,0.008517485882848374,0.010541189692822828,0.04730545266670371,23,10,16,10,F21,#9467bd
Political Affiliation,0.0490853318114021,0.03996447617652459,0.03796164046130266,0.03968520956188724,0.08974405231453757,0.25644071032565413,24,1,2,1,F9,#1f77b4
Google Search Insights,0.05225475240462919,0.045664251041959626,0.03452299186409045,0.039473587135212894,0.03672571344253045,0.20864129588842262,24,2,1,2,F20,#8c564b
Stringency Index,0.0050284850106517434,0.0068068382312124675,0.007562583507856524,0.007393609440246154,0.0053475086349836,0.03213902482495049,24,14,15,19,F21,#9467bd
Political Affiliation,0.06472020850550915,0.038728525707868264,0.04143684519880572,0.04169674685932212,0.08747323877926348,0.2740555650507687,25,1,1,1,F9,#1f77b4
Google Search Insights,0.03934233098639418,0.037585793520482455,0.02978087702237664,0.03178974053566361,0.034137117210907196,0.1726358592758241,25,2,3,2,F20,#8c564b
Stringency Index,0.007947140452837993,0.010418564506839164,0.008957172888466458,0.00790197484400579,0.005186691072507333,0.040411543764656735,25,13,11,20,F21,#9467bd
Political Affiliation,0.05360992669325781,0.054262792945839904,0.044084921436042424,0.04997800882441339,0.09157176239676193,0.2935074122963155,26,1,1,1,F9,#1f77b4
Google Search Insights,0.03224962585629169,0.028325914271730198,0.018617891104406304,0.025399957215317733,0.02235328775828063,0.12694667620602654,26,2,4,4,F20,#8c564b
Stringency Index,0.008817535240603013,0.010609974150671426,0.009774352995923923,0.006514195982925571,0.004384207523800655,0.04010026589392459,26,11,10,23,F21,#9467bd
Political Affiliation,0.05708962428217507,0.05400088960616687,0.038171095563516506,0.049448998727329656,0.09059544297876966,0.28930605115795777,27,1,1,1,F9,#1f77b4
Google Search Insights,0.018726410368023996,0.02253355441979623,0.0148916415840591,0.018183277565435706,0.019572836826492395,0.09390772076380743,27,4,6,4,F20,#8c564b
Stringency Index,0.008384329106526919,0.010512245724644287,0.011513956061945406,0.007000790159516242,0.005186467706528075,0.042597788759160926,27,13,12,21,F21,#9467bd
Political Affiliation,0.03870920702095075,0.05511354634481252,0.03863489447726502,0.04321636278961493,0.0824576251277982,0.2581316357604414,28,1,1,1,F9,#1f77b4
Google Search Insights,0.014364072427360205,0.017391588817384555,0.014480443856032754,0.013527642901824862,0.022733143718056695,0.08249689172065908,28,5,8,2,F20,#8c564b
Stringency Index,0.0050083007028482234,0.007777611272913174,0.005195923556787813,0.005612468427111802,0.004176944397862024,0.027771248357523037,28,26,22,28,F21,#9467bd
Political Affiliation,0.034841804297630334,0.05764800080169681,0.041862891460994395,0.0406015070306702,0.08311622429849037,0.2580704278894821,29,1,1,1,F9,#1f77b4
Google Search Insights,0.0077834667654396485,0.009691502197921198,0.008234296660116356,0.008494738153312805,0.017647488471776572,0.051851492248566576,29,11,18,4,F20,#8c564b
Stringency Index,0.007730127348798021,0.009243208077815453,0.007614790593604519,0.007329639363826008,0.0080878467493132,0.040005612133357196,29,17,19,19,F21,#9467bd
Political Affiliation,0.031069363971345295,0.04818180166928449,0.039191312044414534,0.034960335480525566,0.08846458572838607,0.24186739889395598,30,1,1,1,F9,#1f77b4
Stringency Index,0.008861037029647518,0.01457234058177086,0.013868639791678168,0.012513216561401159,0.012402168245346908,0.06221740220984461,30,9,15,9,F21,#9467bd
Google Search Insights,0.007084856062963924,0.008111821390344819,0.010760316327481046,0.007688525247335199,0.015587262159819483,0.04923278118794447,30,14,17,6,F20,#8c564b
Political Affiliation,0.009721883025291719,0.04325628680856435,0.04291032787624552,0.027886475868108888,0.07544415523745368,0.19921912881566417,31,1,10,1,F9,#1f77b4
Stringency Index,0.02072372580909137,0.008438246714152707,0.014766670748058838,0.007923890133334227,0.01063776982880562,0.06249030323344276,31,8,6,11,F21,#9467bd
Google Search Insights,0.005943987690012635,0.009907223576492123,0.011737291601646256,0.007152779606646313,0.011583474243842252,0.04632475671863959,31,14,13,9,F20,#8c564b
Political Affiliation,0.014544150393317197,0.0286977234541247,0.030553837655299405,0.021359445084483397,0.06497210590852731,0.16012726249575202,32,2,9,1,F9,#1f77b4
Stringency Index,0.029177638818955694,0.012442197266418995,0.010408759517617876,0.011866865084587723,0.013999199412535074,0.07789466010011536,32,7,4,7,F21,#9467bd
Google Search Insights,0.0047544438824276836,0.009367988133709785,0.01693715372995507,0.009171698950242032,0.012137899204056408,0.05236918390039097,32,11,15,8,F20,#8c564b
Political Affiliation,0.01101527916772214,0.045548972246857625,0.024700934722915634,0.025210935960837837,0.05884290445968651,0.16531902655801975,33,1,10,1,F9,#1f77b4
Stringency Index,0.05330975086173791,0.018742924829817657,0.013773768743422756,0.016722996852075428,0.022710755045285254,0.125260196332339,33,4,2,3,F21,#9467bd
Google Search Insights,0.00817108930414232,0.008892647734423798,0.013798955032620611,0.0076678279082221445,0.012317489883903602,0.05084800986331248,33,10,12,10,F20,#8c564b
Political Affiliation,0.01429345814409629,0.02367703545743333,0.022440024870054608,0.01801962056710617,0.048073734588160666,0.12650387362685106,34,2,10,1,F9,#1f77b4
Stringency Index,0.05020574104725569,0.012655535639646068,0.01416997033514156,0.015690785757751957,0.02118039880204346,0.11390243158183873,34,5,1,6,F21,#9467bd
Google Search Insights,0.007426641928218086,0.006275325270957432,0.009400355106080203,0.009973169821750246,0.011505808031133194,0.04458130015813916,34,12,15,12,F20,#8c564b
Political Affiliation,0.038557596845562904,0.022105219311345556,0.019177097641240468,0.0242786195754952,0.04621177319449444,0.15033030656813856,35,2,2,2,F9,#1f77b4
Google Search Insights,0.009582885581576703,0.008290729708580231,0.011783638998084881,0.00906559303666483,0.0132959066556003,0.05201875398050695,35,9,10,9,F20,#8c564b
Stringency Index,0.008351450543837778,0.006852979467606154,0.011358036558633886,0.006978043702054723,0.009239162691657256,0.042779672963789796,35,13,13,13,F21,#9467bd
Political Affiliation,0.03394711391912789,0.021879209921428236,0.021206187580476047,0.02233920420932685,0.05002571465734248,0.1493974302877015,36,2,2,2,F9,#1f77b4
Stringency Index,0.012449569967160602,0.01560240072311604,0.014295101076782273,0.012193344487337486,0.020078543124980454,0.07461895937937685,36,4,9,5,F21,#9467bd
Google Search Insights,0.027455044853418095,0.01082186889014265,0.014827474382741804,0.011208843231778223,0.006811931124955258,0.07112516248303603,36,5,4,19,F20,#8c564b
Stringency Index,0.023272246774521818,0.015103669790783123,0.02395915993284256,0.015335982362110721,0.017371099040149995,0.09504215790040821,37,4,3,7,F21,#9467bd
Political Affiliation,0.017951343358875473,0.014443549000567291,0.014171751592259352,0.014897990732527792,0.030131097615739184,0.09159573229996909,37,5,5,3,F9,#1f77b4
Google Search Insights,0.0079925179918548,0.008755641584586958,0.006217899955554731,0.008258256157758999,0.007424575206857118,0.03864889089661261,37,14,15,15,F20,#8c564b
Stringency Index,0.02703027572631763,0.016166054722104237,0.026181030869924998,0.014196944734483245,0.018210048826464077,0.10178435487929419,38,4,3,6,F21,#9467bd
Political Affiliation,0.014157941851289544,0.014744941096207845,0.010503362733190759,0.013859589261798925,0.02529577862979275,0.07856161357227982,38,5,7,4,F9,#1f77b4
Google Search Insights,0.005592503203165244,0.006319476084928786,0.0054790345371947095,0.005172680824744269,0.003790263294153337,0.026353957944186344,38,22,21,26,F20,#8c564b
Stringency Index,0.03766082581676894,0.020808663786755367,0.024564653478148665,0.02359723860708423,0.035157621028534036,0.14178900271729125,39,2,2,2,F21,#9467bd
Political Affiliation,0.019263912431189426,0.01384025839064276,0.010974780362740843,0.012203109706171486,0.024562782954620416,0.08084484384536493,39,7,6,5,F9,#1f77b4
Google Search Insights,0.005928473169174144,0.00631988555176221,0.007332097765108934,0.0066635632421075,0.005746409949330011,0.0319904296774828,39,22,19,21,F20,#8c564b
Stringency Index,0.04601798706099588,0.023603089920398897,0.038382761907920206,0.017271234559509206,0.015151257259868713,0.1404263307086929,40,2,1,9,F21,#9467bd
Political Affiliation,0.016037376832920777,0.016200298386727294,0.014129496141971735,0.013898033884913332,0.03187766430222754,0.09214286954876068,40,5,9,3,F9,#1f77b4
Google Search Insights,0.008408590996747086,0.007752540658118333,0.006895287127915474,0.006350279512154375,0.007807268014351742,0.037213966309287014,40,16,15,18,F20,#8c564b
Political Affiliation,0.04417858608607775,0.031599072368124995,0.016746223280901064,0.028475761889474555,0.050532174049607664,0.17153181767418602,41,1,1,1,F9,#1f77b4
Stringency Index,0.020784545912070018,0.021023512788146816,0.012198509294254587,0.022270279965520102,0.02239638449610552,0.09867323245609705,41,4,4,5,F21,#9467bd
Google Search Insights,0.011387489475846653,0.00874442663952827,0.007173723878908129,0.00877150550879598,0.010365234539207544,0.04644238004228658,41,14,12,12,F20,#8c564b
Political Affiliation,0.03840444008126605,0.034845256625995066,0.02025754745483431,0.029455818563251912,0.05755019713883508,0.18051325986418243,42,1,1,1,F9,#1f77b4
Stringency Index,0.027229935163881776,0.028921901705214827,0.014078253736248157,0.02046307521863222,0.03570705631011712,0.1264002221340941,42,2,3,2,F21,#9467bd
Google Search Insights,0.008794249043912676,0.013619035215303638,0.008250693758032652,0.009618313502084037,0.01178333495885543,0.05206562647818844,42,10,14,9,F20,#8c564b
Political Affiliation,0.024612670907231335,0.029889609147872614,0.024334541404120936,0.020537407680446818,0.06041886130751037,0.15979309044718207,43,1,3,1,F9,#1f77b4
Google Search Insights,0.015264398009085836,0.016720018687113977,0.019997355022563713,0.013537531996081405,0.024862744166322455,0.09038204788116738,43,4,9,3,F20,#8c564b
Stringency Index,0.02678357975004871,0.02060954360322485,0.01342836046280539,0.01358826383238929,0.009953912450197845,0.08436366009866608,43,5,2,13,F21,#9467bd
